% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:13"
% Table,表格 14 - 表面最大值 1
% w,温度 (K)
80,558.6088326607596
78,594.1726048443354
76,629.5046427566269
74,664.6073899886582
72,699.5901990719453
70,734.2371073381565
68,768.562998333087
66,802.689465866713
64,836.4030674478073
62,869.7806017680335
60,902.7389193729059
58,935.7856752332708
56,968.6160550240733
54,1001.2049935315193
52,1033.549150699597
50,1065.6800179965253
48,1097.638543305456
46,1129.375509206047
44,1161.0275489836297
42,1192.4324565323564
40,1223.8721022056461
38,1254.7991417249953
36,1285.5179631415863
34,1316.3102599613646
32,1347.288687177653
30,1378.1141546370538
28,1408.8830465429583
26,1438.742142482553
24,1469.1241131931456
22,1499.66131523686
20,1529.3015992801306
