rd,w_b,T_avg_K,T_surface_max_K,T_surface_min_K,T_surface_std_K,T_stack_K,v_stack_mps,T_avg_C,T_surface_max_C,T_surface_min_C,T_surface_std_C,T_stack_C,T_surface_std_delta_C
0.5,0,1283.9,1541.2,928.9,68.628,1225.9,2.7587,1010.7500000000001,1268.0500000000002,655.75,-204.522,952.7500000000001,68.628
0.5,10,1239.8,1485.2,899.59,65.186,1186.2,2.7037,966.65,1212.0500000000002,626.44,-207.964,913.0500000000001,65.186
0.5,20,1185.8,1416.8,863.76,61.019,1137.3,2.6335,912.65,1143.65,590.61,-212.131,864.15,61.019
0.5,30,1118.2,1331.2,819.19,55.839,1075.7,2.5409,845.0500000000001,1058.0500000000002,546.0400000000001,-217.311,802.5500000000001,55.839
0.5,40,1030.9,1220.9,762.13,49.22,995.47,2.4134,757.7500000000001,947.7500000000001,488.98,-223.93,722.32,49.22
0.5,50,913.37,1072.5,686.05,40.472,886.63,2.2269,640.22,799.35,412.9,-232.678,613.48,40.472
1.0,0,1300.2,1545.7,1074.7,43.961,1303.4,5.8549,1027.0500000000002,1272.5500000000002,801.5500000000001,-229.189,1030.25,43.961
1.0,10,1255.3,1489.6,1038.7,41.797,1259.6,5.7315,982.15,1216.4499999999998,765.5500000000001,-231.353,986.4499999999999,41.797
1.0,20,1200.3,1421.1,994.82,39.149,1205.9,5.5747,927.15,1147.9499999999998,721.6700000000001,-234.001,932.7500000000001,39.149
1.0,30,1131.4,1335.3,940.35,35.853,1138.4,5.3685,858.2500000000001,1062.15,667.2,-237.297,865.2500000000001,35.853
1.0,40,1042.4,1225.5,870.54,31.629,1050.7,5.0856,769.2500000000001,952.35,597.39,-241.521,777.5500000000001,31.629
1.0,50,922.87,1077.7,777.7,26.005,932.21,4.6737,649.72,804.5500000000001,504.55000000000007,-247.145,659.0600000000001,26.005
1.5,0,1307.4,1549.7,1162.0,32.376,1344.8,9.0516,1034.25,1276.5500000000002,888.85,-240.774,1071.65,32.376
1.5,10,1262.1,1493.4,1124.0,30.684,1299.0,8.857,988.9499999999999,1220.25,850.85,-242.466,1025.85,30.684
1.5,20,1206.6,1424.9,1076.0,28.686,1242.9,8.6079,933.4499999999999,1151.75,802.85,-244.464,969.7500000000001,28.686
1.5,30,1137.1,1338.8,1016.2,26.172,1172.3,8.2822,863.9499999999999,1065.65,743.0500000000001,-246.978,899.15,26.172
1.5,40,1047.4,1228.1,938.96,23.015,1080.9,7.8369,774.2500000000001,954.9499999999999,665.8100000000001,-250.135,807.7500000000001,23.015
1.5,50,926.93,1079.2,836.75,18.778,957.51,7.1902,653.78,806.0500000000001,563.6,-254.372,684.36,18.778
2.0,0,1311.6,1551.6,1228.0,24.898,1373.2,12.311,1038.4499999999998,1278.4499999999998,954.85,-248.252,1100.0500000000002,24.898
2.0,10,1266.0,1495.3,1186.8,23.572,1326.1,12.042,992.85,1222.15,913.65,-249.578,1052.9499999999998,23.572
2.0,20,1210.2,1426.4,1136.7,21.98,1268.5,11.701,937.0500000000001,1153.25,863.5500000000001,-251.17,995.35,21.98
2.0,30,1140.3,1340.2,1074.3,20.018,1196.0,11.255,867.15,1067.0500000000002,801.15,-253.132,922.85,20.018
2.0,40,1050.1,1229.1,994.21,17.466,1102.1,10.644,776.9499999999999,955.9499999999999,721.0600000000001,-255.684,828.9499999999999,17.466
2.0,50,929.03,1080.1,886.81,14.17,975.26,9.7566,655.88,806.9499999999999,613.66,-258.98,702.11,14.17
2.5,0,1314.1,1552.1,1280.1,19.989,1394.7,15.618,1040.9499999999998,1278.9499999999998,1006.9499999999999,-253.161,1121.5500000000002,19.989
2.5,10,1268.3,1495.9,1238.7,18.906,1346.6,15.274,995.15,1222.75,965.5500000000001,-254.244,1073.4499999999998,18.906
2.5,20,1212.4,1427.1,1186.1,17.545,1287.6,14.838,939.2500000000001,1153.9499999999998,912.9499999999999,-255.605,1014.4499999999999,17.545
2.5,30,1142.2,1340.8,1121.1,15.939,1213.5,14.266,869.0500000000001,1067.65,847.9499999999999,-257.211,940.35,15.939
2.5,40,1051.8,1230.0,1037.0,13.855,1117.5,13.483,778.65,956.85,763.85,-259.295,844.35,13.855
2.5,50,930.38,1081.3,923.78,11.191,987.77,12.346,657.23,808.15,650.63,-261.959,714.62,11.191
3.0,0,1315.9,1553.3,1324.6,16.388,1411.1,18.953,1042.75,1280.15,1051.4499999999998,-256.762,1137.9499999999998,16.388
3.0,10,1270.0,1496.6,1280.5,15.469,1362.1,18.531,996.85,1223.4499999999998,1007.35,-257.681,1088.9499999999998,15.469
3.0,20,1213.8,1428.5,1226.2,14.404,1302.0,17.996,940.65,1155.35,953.0500000000001,-258.746,1028.85,14.404
3.0,30,1143.6,1342.0,1158.5,13.012,1226.6,17.296,870.4499999999999,1068.85,885.35,-260.138,953.4499999999999,13.012
3.0,40,1053.0,1230.9,1070.6,11.289,1128.9,16.338,779.85,957.7500000000001,797.4499999999999,-261.861,855.7500000000001,11.289
3.0,50,931.35,1082.1,951.79,9.1146,997.09,14.949,658.2,808.9499999999999,678.64,-264.0354,723.94,9.1146
3.5,0,1317.2,1553.5,1359.5,13.759,1423.9,22.303,1044.0500000000002,1280.35,1086.35,-259.391,1150.75,13.759
3.5,10,1271.2,1497.4,1313.8,12.975,1374.2,21.804,998.0500000000001,1224.25,1040.65,-260.17499999999995,1101.0500000000002,12.975
3.5,20,1215.0,1429.1,1257.8,12.06,1313.3,21.17,941.85,1155.9499999999998,984.65,-261.09,1040.15,12.06
3.5,30,1144.6,1342.3,1187.6,10.884,1236.8,20.34,871.4499999999999,1069.15,914.4499999999999,-262.266,963.65,10.884
3.5,40,1053.9,1231.9,1096.8,9.4781,1137.9,19.207,780.7500000000001,958.7500000000001,823.65,-263.6719,864.7500000000001,9.4781
3.5,50,932.1,1082.3,973.72,7.5974,1004.4,17.564,658.95,809.15,700.57,-265.5526,731.25,7.5974
